osm_id,nom,type,operateur,ville,region_osm,longitude,latitude,categorie
4108490592,Europ Assistance,clinic,NA,NA,NA,15.04005,12.11971,Centre/Clinique
4116332890,Pharmacie Eguni,pharmacy,NA,NA,NA,15.04853,12.10962,Pharmacie
4116333290,Centre de santé Roi Faycal - مركز الملك فيصل الصحي,hospital,NA,انجمينا,NA,15.05003,12.11105,Hopital
4119157707,Sopivet,pharmacy,NA,NA,NA,15.06833,12.10763,Pharmacie
4119165594,Dépôt pharmaceutique BERDEI,pharmacy,NA,NA,NA,15.04797,12.10616,Pharmacie
4119165599,Sopivet Annexe,pharmacy,NA,NA,NA,15.06369,12.11747,Pharmacie
4119166296,Pharmacie d'Aristote,pharmacy,NA,NA,NA,15.04876,12.10502,Pharmacie
4119166297,Dépôt Pharmaceutique du Haras,pharmacy,NA,NA,NA,15.05275,12.10508,Pharmacie
4119178090,Dépôt pharmaceutique Wadi-soudour,pharmacy,NA,NA,NA,15.05061,12.10523,Pharmacie
4123068391,Boulevard de 40 Metres شارع 40 متر,doctor,NA,انجمينا,NA,15.05241,12.12783,Centre/Clinique
4130050392,Pharmacie du Golf,pharmacy,NA,N'Djaména,NA,15.05743,12.12825,Pharmacie
4130060492,Pharmacie le Tibesti صيدلية تيبستي,pharmacy,NA,انجمينا,NA,15.042,12.10847,Pharmacie
4132799889,Centre de santé Ardep Djoumal,hospital,NA,NA,NA,15.05907,12.10414,Hopital
4137886794,العلاج,clinic,NA,انجمينا,NA,15.04997,12.1284,Centre/Clinique
4137978602,Pharmacie votre santé,pharmacy,NA,NA,NA,15.07527,12.1075,Pharmacie
4138079091,Pharmacie vidal,pharmacy,NA,NA,NA,15.06702,12.12844,Pharmacie
