r,obs,theo,lo,hi,fonction,nsim
51666.66666666667,27868228329.951374,8386307055.832755,7558118733.034523,9227361096.038166,K,39
52083.333333333336,28170640756.528458,8522115488.253562,7719734701.192327,9368082281.871708,K,39
52500,28485173779.60025,8659014751.456867,7864564551.017004,9546496366.46135,K,39
52916.66666666667,28738152526.844795,8797004845.44267,7976845511.693255,9706821475.229252,K,39
53333.333333333336,28974845935.379803,8936085770.210968,8102109187.975069,9797729013.813055,K,39
53750,29251732564.23208,9076257525.761763,8272048554.039938,9948690808.16223,K,39
54166.66666666667,29541036610.743343,9217520112.095055,8371120348.331958,10182191738.436037,K,39
54583.333333333336,29778692187.60573,9359873529.210842,8534907962.417506,10305095098.010002,K,39
55000,29953570819.63654,9503317777.109123,8675484705.03211,10512388588.652819,K,39
55416.66666666667,30218130801.426743,9647852855.789907,8781867104.848566,10687799030.760723,K,39
55833.333333333336,30442334175.82522,9793478765.253181,8944473100.08204,10814257721.5827,K,39
56250,30760702967.471058,9940195505.498955,9094800379.075016,10957033662.833323,K,39
56666.66666666667,31034231084.237198,10088003076.527225,9265724745.753548,11151981042.714985,K,39
57083.333333333336,31339147673.41913,10236901478.337992,9348604285.757563,11308516057.201645,K,39
57500,31629147874.834953,10386890710.931253,9500349746.62783,11503204795.182772,K,39
57916.66666666667,32007495164.558094,10537970774.307014,9632497748.689024,11646993041.852997,K,39
58333.333333333336,32270781892.617146,10690141668.46527,9782317587.69391,11826498669.379765,K,39
58750,32506832062.60112,10843403393.406021,9927725418.364565,12003401342.526524,K,39
59166.66666666667,32756500511.622635,10997755949.12927,10057606704.204584,12185822193.882391,K,39
59583.333333333336,33289233272.367676,11153199335.635014,10177029239.117825,12443477359.853561,K,39
60000,33815445682.72076,11309733552.923256,10299579852.992018,12642572997.611217,K,39
60416.66666666667,34051820097.443726,11467358600.993996,10366349159.781391,12827104782.708735,K,39
60833.333333333336,34446833483.973816,11626074479.847229,10486787187.062378,13037385188.982647,K,39
61250,34716785698.819176,11785881189.482958,10704017372.190548,13253473684.504517,K,39
61666.66666666667,35246502498.67629,11946778729.901186,10820832494.859425,13441022512.612116,K,39
62083.333333333336,35484813652.653725,12108767101.10191,11002221007.531683,13586654358.93584,K,39
62500,35742676650.53332,12271846303.085129,11135743107.13765,13716025338.714504,K,39
62916.66666666667,36019640611.21882,12436016335.850847,11317333162.601765,13851223044.755886,K,39
63333.333333333336,36521559932.775925,12601277199.399061,11441363295.126831,14021310481.388594,K,39
63750,36790136079.3597,12767628893.729769,11607590667.325682,14149430147.822311,K,39
64166.66666666667,37044324218.090775,12935071418.842976,11748485792.139158,14334102635.767786,K,39
64583.333333333336,37341676380.37996,13103604774.738678,11917468730.296068,14541232344.797539,K,39
65000,37571884506.02319,13273228961.416876,12005461115.937387,14758464169.460672,K,39
65416.66666666667,37811684636.901566,13443943978.877573,12197944459.527771,14935796271.226496,K,39
65833.33333333334,38070668778.250206,13615749827.120766,12358437874.636429,15077901093.44029,K,39
66250,38472946587.32547,13788646506.146452,12495356984.037506,15318292784.92118,K,39
66666.66666666667,38841071595.19725,13962634015.954638,12571360161.167664,15475318014.456045,K,39
67083.33333333334,39259864271.73504,14137712356.545322,12705813211.019726,15642832886.29663,K,39
67500,39524603616.224754,14313881527.918495,12805009247.584824,15865587553.959675,K,39
67916.66666666667,39769732638.90043,14491141530.074171,12930119401.691551,16083718498.362314,K,39
68333.33333333334,40065463295.54271,14669492363.012342,13037856895.76654,16253358630.756672,K,39
68750,40393525543.77929,14848934026.733007,13193961504.192863,16430468936.73503,K,39
