x,y,densite,bandwidth,sigma_m,sous_population
-155015.5318452545,577422.4909593463,2.0382072950511477e-4,petit,35770.82265737722,tous
-155015.5318452545,587949.1783074015,1.3674635501600505e-4,petit,35770.82265737722,tous
-155015.5318452545,598475.8656554568,9.061977401061607e-5,petit,35770.82265737722,tous
-155015.5318452545,609002.5530035121,6.064314737444631e-5,petit,35770.82265737722,tous
-155015.5318452545,619529.2403515674,4.207690359164491e-5,petit,35770.82265737722,tous
-155015.5318452545,630055.9276996227,3.0996028061322525e-5,petit,35770.82265737722,tous
-155015.5318452545,640582.6150476779,2.4548698136883366e-5,petit,35770.82265737722,tous
-155015.5318452545,651109.3023957332,2.0834172350248416e-5,petit,35770.82265737722,tous
-155015.5318452545,661635.9897437885,1.8635655326192353e-5,petit,35770.82265737722,tous
-147889.03970025317,451102.242782683,0.00517657241736082,petit,35770.82265737722,tous
-147889.03970025317,461628.93013073824,0.004410563202854487,petit,35770.82265737722,tous
-147889.03970025317,472155.6174787935,0.0036542882282618043,petit,35770.82265737722,tous
-147889.03970025317,482682.3048268488,0.0029614905678058273,petit,35770.82265737722,tous
-147889.03970025317,493208.9921749041,0.0023654359743134766,petit,35770.82265737722,tous
-147889.03970025317,503735.67952295934,0.0018763168460015104,petit,35770.82265737722,tous
-147889.03970025317,514262.3668710146,0.0014849617138302626,petit,35770.82265737722,tous
-147889.03970025317,524789.0542190699,0.001171644532194768,petit,35770.82265737722,tous
-147889.03970025317,535315.7415671252,9.158722581144685e-4,petit,35770.82265737722,tous
-147889.03970025317,545842.4289151805,7.02922992711867e-4,petit,35770.82265737722,tous
-147889.03970025317,556369.1162632357,5.253770435849194e-4,petit,35770.82265737722,tous
-147889.03970025317,566895.803611291,3.807773012516063e-4,petit,35770.82265737722,tous
-147889.03970025317,577422.4909593463,2.680217795656958e-4,petit,35770.82265737722,tous
-147889.03970025317,587949.1783074015,1.8475275858285893e-4,petit,35770.82265737722,tous
-147889.03970025317,598475.8656554568,1.26639094995275e-4,petit,35770.82265737722,tous
-147889.03970025317,609002.5530035121,8.812962940386033e-5,petit,35770.82265737722,tous
-147889.03970025317,619529.2403515674,6.367865735777924e-5,petit,35770.82265737722,tous
-147889.03970025317,630055.9276996227,4.864164927846614e-5,petit,35770.82265737722,tous
-147889.03970025317,640582.6150476779,3.957807573206372e-5,petit,35770.82265737722,tous
-147889.03970025317,651109.3023957332,3.4118656634777816e-5,petit,35770.82265737722,tous
-147889.03970025317,661635.9897437885,3.0676242773743683e-5,petit,35770.82265737722,tous
-147889.03970025317,672162.6770918437,2.8192271549246343e-5,petit,35770.82265737722,tous
-140762.54755525186,440575.5554346277,0.006542941987397259,petit,35770.82265737722,tous
-140762.54755525186,451102.242782683,0.005822076818333265,petit,35770.82265737722,tous
-140762.54755525186,461628.93013073824,0.0050101590143586195,petit,35770.82265737722,tous
-140762.54755525186,472155.6174787935,0.00418872545188047,petit,35770.82265737722,tous
-140762.54755525186,482682.3048268488,0.0034239238076119,petit,35770.82265737722,tous
-140762.54755525186,493208.9921749041,0.0027583809340967305,petit,35770.82265737722,tous
-140762.54755525186,503735.67952295934,0.0022077164917810176,petit,35770.82265737722,tous
-140762.54755525186,514262.3668710146,0.0017642539162527897,petit,35770.82265737722,tous
-140762.54755525186,524789.0542190699,0.0014069565080195544,petit,35770.82265737722,tous
-140762.54755525186,535315.7415671252,0.0011130197454683988,petit,35770.82265737722,tous
-140762.54755525186,545842.4289151805,8.659603845333727e-4,petit,35770.82265737722,tous
-140762.54755525186,556369.1162632357,6.577618895988345e-4,petit,35770.82265737722,tous
-140762.54755525186,566895.803611291,4.8624220780002725e-4,petit,35770.82265737722,tous
-140762.54755525186,577422.4909593463,3.5078552312883674e-4,petit,35770.82265737722,tous
-140762.54755525186,587949.1783074015,2.492304367020004e-4,petit,35770.82265737722,tous
-140762.54755525186,598475.8656554568,1.7700870746673963e-4,petit,35770.82265737722,tous
-140762.54755525186,609002.5530035121,1.2801444195684493e-4,petit,35770.82265737722,tous
-140762.54755525186,619529.2403515674,9.601627266939604e-5,petit,35770.82265737722,tous
-140762.54755525186,630055.9276996227,7.568734660077984e-5,petit,35770.82265737722,tous
-140762.54755525186,640582.6150476779,6.296518320688664e-5,petit,35770.82265737722,tous
-140762.54755525186,651109.3023957332,5.493113164635953e-5,petit,35770.82265737722,tous
-140762.54755525186,661635.9897437885,4.9527423475791755e-5,petit,35770.82265737722,tous
-140762.54755525186,672162.6770918437,4.53212936196526e-5,petit,35770.82265737722,tous
-140762.54755525186,682689.364439899,4.137092781490317e-5,petit,35770.82265737722,tous
-133636.0554102505,440575.5554346277,0.007200172487995075,petit,35770.82265737722,tous
