DHSCLUST,region_eds,milieu,lat,lon,n_menages,poids_total,tx_eau_amelioree,tx_electricite,taille_moy_menage,Travel_Times_2015,Nightlights_Composite,Aridity_2015,Malaria_Prevalence_2015,All_Population_Count_2015
126,DOUALA,U,3.973698,9.762969,25,37.545725000000004,100,100,4.8,5.214285714285714,1.7782181331089564,57.6485710144043,0.09935300797224043,3115.11328125
127,YAOUNDE,U,3.894334,11.498884,28,13.932687999999999,100,100,4.357142857142858,0.14285714285714285,18.97996012369792,40.57988357543945,0.1648089736700058,39667.73828125
128,NORD,R,9.936658,14.023692,27,38.353527,0,44.44444444444445,6.481481481481481,29.208,0.06560490755426804,13.20639991760254,0.1868115266164144,117836.4375
129,NORD-OUEST,U,6.585718,10.722468,26,18.756712,100,0,5.115384615384616,10.928571428571429,0.02463074981189164,34.9431266784668,0.13879874348640442,1035.54052734375
130,EXTREME-NORD,R,11.090558,14.068868,28,75.740784,67.85714285714286,0,4.249999999999999,20.24598930481283,0.03066952596574821,9.973837852478027,0.24894467989603675,61694.7265625
132,SUD,U,2.393872,11.27011,28,8.238468000000001,92.85714285714286,100,5.2142857142857135,48.46666666666667,0.1472917653746524,39.36774063110352,0.24102728068828583,897.89349365234375
133,YAOUNDE,U,3.822567,11.471389,23,40.835948,100,100,4,0.06666666666666667,9.968644766971982,40.57988357543945,0.18554958701133728,141848.46875
134,NORD,R,9.820205,13.876901,27,39.259053,14.814814814814817,25.925925925925927,6.333333333333333,24.096,0.00206206274288956,13.223880767822266,0.17287479128156388,27984.205078125
135,EXTREME-NORD,R,10.793888,13.865085,28,12.67,3.5714285714285716,0,6.071428571428571,24.648793565683647,0.05184742590471213,11.610509872436523,0.24968864236559188,120870.734375
136,EXTREME-NORD,U,11.169955,14.028217,28,27.8572,92.85714285714285,3.571428571428571,7.071428571428572,37.266666666666666,0.00263760886231406,9.973837852478027,0.21323685348033905,3068.822265625
137,EXTREME-NORD,R,10.247075,14.828123,28,43.793932,64.28571428571429,0,5.178571428571428,48.47184986595174,0,12.617053985595703,0.22433942159016929,30284.0234375
138,SUD-OUEST,U,4.158475,9.256931,26,9.656789999999999,100,100,3.730769230769231,9.5,1.1480184094659214,62.77460479736328,0.1866388767957687,37613.265625
140,CENTRE,R,4.327967,12.475313,28,24.706836000000003,0,0,7.1428571428571415,166.98123324396784,0,35.19373321533203,0.3911248207092285,5657.63427734375
141,EXTREME-NORD,R,11.156257,14.078265,28,20.920228,78.57142857142857,0,7.392857142857142,24.72459893048128,0.0019513797188567,9.973837852478027,0.26044985226222445,82991.75
143,NORD,U,9.020506,13.518951,28,21.741384,85.71428571428571,53.57142857142856,7.107142857142858,23.571428571428573,0.3821525573730469,15.152363777160645,0.29367274045944214,216.00689697265625
144,NORD-OUEST,U,6.589667,10.539598,28,22.570324,89.28571428571429,0,4.071428571428571,30.333333333333332,0,34.9431266784668,0.21559756994247437,4016.0595703125
145,LITTORAL,R,4.958219,9.961853,28,7.721084000000001,92.85714285714285,96.42857142857142,4.035714285714286,81.74728260869566,0.14929163035984608,55.764705657958984,0.09526715108326504,190700.578125
146,DOUALA,U,4.049476,9.734015,28,20.006616,100,100,4.071428571428571,0,14.924096469221444,58.0782585144043,0.07472863793373108,312559.03125
