x,y,pop,frac_inondee
15.326249,10.257917,0.1466,0
15.327083,10.257917,0.761,0
15.327916,10.257917,4.8861,0
15.328749,10.257917,7.0966,0
15.329583,10.257917,5.7119,0
15.330416,10.257917,2.4104,0.0016
15.331249,10.257917,0.8991,0.3279
15.332083,10.257917,3.661,0.0094
15.332916,10.257917,8.158,0.0136
15.333749,10.257917,8.3334,0.2631
15.334583,10.257917,3.2335,0.333
15.335416,10.257917,2.4833,0.4715
15.336249,10.257917,4.759,0.3346
15.337083,10.257917,3.8284,0.4121
15.337916,10.257917,1.4025,0.9508
15.338749,10.257917,0.8613,1
15.339583,10.257917,0.3029,0.6476
15.358749,10.257917,0.1473,0
15.359583,10.257917,3.3989,0
15.360416,10.257917,6.1706,0
15.361249,10.257917,5.8005,0
15.362083,10.257917,0.1674,0
15.362916,10.257917,2.7619,0
15.363749,10.257917,3.3198,0
15.364583,10.257917,1.5065,0
15.326249,10.257084,2.4271,0.4027
15.327083,10.257084,0.7963,0.0579
15.327916,10.257084,2.5663,0
15.328749,10.257084,5.3911,0
15.329583,10.257084,5.9142,0
15.330416,10.257084,2.5537,0
15.331249,10.257084,1.6833,0.0132
15.332083,10.257084,4.6595,0.0068
15.332916,10.257084,8.3944,0
15.333749,10.257084,9.5821,0
15.334583,10.257084,6.5781,0.1064
15.335416,10.257084,5.1456,0.2493
15.336249,10.257084,5.5015,0.4595
15.337083,10.257084,5.0584,0.5147
15.337916,10.257084,2.7524,0.1615
15.338749,10.257084,2.1445,0.9506
15.339583,10.257084,0.6743,0.5738
15.362083,10.257084,0.4921,0
15.362916,10.257084,4.9114,0
15.363749,10.257084,6.3629,0
15.364583,10.257084,3.094,0
15.326249,10.25625,1.8066,0.6204
15.327083,10.25625,5.3956,0.2204
15.327916,10.25625,5.2298,0
15.328749,10.25625,7.7593,0
15.329583,10.25625,7.7979,0
15.330416,10.25625,5.5914,0
15.331249,10.25625,6.6467,0
15.332083,10.25625,7.372,0
15.332916,10.25625,6.8203,0
15.333749,10.25625,8.6063,0
15.334583,10.25625,8.2711,0
15.335416,10.25625,5.4918,0
15.336249,10.25625,4.8147,0
15.337083,10.25625,6.2674,0
15.337916,10.25625,6.0968,0.004
15.338749,10.25625,3.8883,0.5758
15.339583,10.25625,1.4064,1
15.340416,10.25625,0.3887,1
15.362083,10.25625,0.3574,0
15.362916,10.25625,3.4775,0
15.363749,10.25625,4.9784,0
15.364583,10.25625,2.3434,0
15.326249,10.255417,2.882,0.2784
15.327083,10.255417,6.6064,0.1615
15.327916,10.255417,6.0432,0
15.328749,10.255417,7.2979,0
15.329583,10.255417,7.9212,0
15.330416,10.255417,8.4963,0
15.331249,10.255417,9.5819,0
15.332083,10.255417,8.7223,0
15.332916,10.255417,5.104,0.0994
15.333749,10.255417,7.6682,0
15.334583,10.255417,8.1288,0
15.335416,10.255417,8.7724,0
15.336249,10.255417,8.657,0
15.337083,10.255417,8.6939,0
15.337916,10.255417,7.4552,0
15.338749,10.255417,3.9479,0.2944
15.339583,10.255417,2.0342,0.64
15.340416,10.255417,1.2181,1
15.341249,10.255417,1.1886,1
15.342083,10.255417,0.5618,0.8024
15.362916,10.255417,1.089,0
15.363749,10.255417,1.5902,0
15.364583,10.255417,0.5022,0
15.366249,10.255417,0.1674,0
15.367083,10.255417,0.1853,0
